Project Website,Lead Signal Date,Investment Announcement Date,Project Description (100 words),Investment Stage,Lead Time,Lead Time (Months),Round Investment Amount ($M),Total Money Raised ($M),Latest Round Co-Investors,Previous Round Investors
https://www.demoxlabs.xyz/,10/09/2022,06/01/2023,"Demox Labs pioneers privacy infrastructure for zero-knowledge blockchains, fostering data sovereignty and individual control. Their innovative products, leveraging Zero-Knowledge Proofs, empower enterprises and individuals to reclaim ownership of their data, redefining privacy standards in the digital age. With a mission to establish data privacy as a fundamental right, Demox Labs envisions a society where privacy is universally accessible and uncompromised. Their flagship product, Leo Wallet, a privacy-preserving cryptocurrency wallet for the Aleo blockchain, epitomizes their commitment to privacy and security. Founded on principles of personal sovereignty, Demox Labs heralds a future where individuals can harness technology without sacrificing privacy, championing a democratic vision of data protection.",Pre-Seed,235,8,4.5,4.5,"Sriram Krishnan, Space Whale Capital, Santiago Santos, Ryan Selkis, OpenSea, Kearny Jackson, Honey DAO, Hack VC, DCVC, 
CSQUARED, CRV, Coinbase Ventures, C² Ventures, AngelDAO, Amplify Partners",-
http://getjampy.com/,5/29/2023,1/16/2024,"JAMPY is an innovative Italian company specializing in premium pet wellness products, designed to enhance the health and happiness of dogs. Their diverse product lineup includes nutritional supplements like The Smart Omega, pre/pro/postbiotics, multivitamins, joint support solutions, and grooming essentials such as toothpaste sprays, moisturizing detanglers, and shampoos. Additionally, JAMPY offers unique pet apparel and accessories, embodying a holistic approach to pet care. Emphasizing smart compositions and blends, JAMPY aims to support dogs' vital needs, ensuring they live fulfilling lives alongside their owners. Rooted in sustainability and committed to quality, JAMPY represents the intersection of innovation, wellness, and love for pets.",Pre-Seed,232,8,1.1,1.1,"Nicola Drago, Fabio Zecchini, Claudio Bellinzona, 360 Capital",-
www.slingerstaff.com,05/12/2023,10/19/2023,"Slinger is a revolutionary platform connecting hospitality workers with flexible shifts while simplifying staff recruitment for businesses. Created by industry experts, it offers workers swift access to various shifts, from living wage to high-paying roles, with opportunities to build profiles, earn references, receive mentoring, and secure permanent positions. The platform fosters a supportive community, providing round-the-clock assistance. Businesses can efficiently fill shifts with reliable, community-rated staff, reducing recruitment effort and improving customer experiences. Slinger promotes inclusivity, welcoming all hospitality workers regardless of gender, race, religion, or ability. Join Slinger for fair, fun, and flexible work or as a business seeking seamless staffing solutions.",Pre-Seed,160,6,0.636,0.636,"Fuel Ventures, Ufi Ventures, Tim Parsons, Richard Ng, Resolution Foundation, Gary Elden OBE, Fuel Ventures, Dan Cobley, Cornerstone Partners LLC, BenWestwood, Andrew Gale",-
https://www.kurier.tech/,12/23/2022,05/31/2023,"Kurier is a cutting-edge shipping optimization platform that revolutionizes cross-border and domestic logistics, reducing both time and costs for shippers. With an average saving of -40%, Kurier seamlessly integrates regional and local carriers to streamline the first, middle, and last-mile delivery processes. Through Prime-like operational procedures, Kurier ensures a hassle-free multi-carrier shipping experience, offering end-to-end visibility through a singular tracking platform. With Kurier, businesses gain insights into their delivery capacity, enabling accurate delivery promises backed by automated updates. Offering on-time pickups and deliveries at competitive costs, Kurier redefines the transportation experience, making parcel delivery faster, cheaper, and more efficient for all.",Pre-Seed,159,6,-,-,Forum Ventures,Berkeley SkyDeck Fund
loewi.fr/,12/27/2022,05/26/2023,"Loewi, the premier destination for reconditioned electric bikes, offers an unparalleled cycling experience. Our meticulously refurbished bikes, proudly made in France, boast quality and affordability, up to 60% cheaper than retail. With a 4.7/5 rating from satisfied customers, our ultra-controlled bikes undergo a rigorous 35-point inspection process, ensuring top-notch performance. From seamless online shopping to expert after-sales service, Loewi prioritizes customer satisfaction. Our partnership with Lokki expands resale options, while our commitment to sustainability drives innovation. Enjoy swift 72-hour delivery across France and a 14-day satisfaction guarantee. Join Loewi in revolutionizing electric mobility affordably and sustainably.",Pre-Seed,150,5,1.1,1.1,"Satgana, Cameleon Invest, Antler, 21st by CentraleSupélec",-
https://lastgameboard.com/,07/11/2023,12/20/2023,Revolutionizing tabletop gaming with interactive consoles.,Seed,162,6,7.1,7.1,"SOSV, HAX","SOSV, HAX,IrishAngels, Blockchain Founders Capital,  TheVentureCity, Riot Games, Corner3 Ventures, Conscience VC, Behind Genius Ventures"
www.frezent.com/,05/17/2023,09/26/2023,Innovating cancer treatment with bifunctional therapeutic modalities.,Seed,132,5,-,-,"SOSV, IndieBio",-
tiplink.io,10/16/2022,02/21/2023,Simplifying cryptocurrency distribution with easy-to-use links.,Seed,128,5,6,6,"Vinny Langham, Solana Ventures, Sequoia Capital, Sarah Guo, Paxos, Multicoin Capital, MonkeVentures, Liu Jiang, Karatage, Circle, Big Brain Holdings, Asymmetric",-
mirageml.com/,11/03/2022,03/09/2023,Facilitating revenue growth and experience delivery through Instagram DMs.,Seed,126,5,-,-,"Sequoia Capital, Pareto Holdings, Nadav Ben-Chanoch, Edward Lando, Ashkan Mizani",-
www.sentio.xyz,10/18/2022,02/21/2023,Offering an end-to-end observability platform for decentralized applications.,Seed,126,5,6.4,6.4,"Lightspeed Venture Partners, HashKey Capital, GSR Ventures, Essence VC, Canonical Crypto",-
www.disclo.com/,10/10/2022,02/01/2023,ADA accommodations company automating workplace accommodation decisions.,Seed,114,4,5.1,6.6,"Y Combinator, Lerer Hippeau, General Catalyst, Gaingels, Bain Capital Ventures","Y Combinator, Lerer Hippeau, Graph Ventures, Gaingels, Bain Capital Ventures"
hntlabs.com/,10/16/2022,02/23/2023,Pioneering a decentralized chat protocol for online communities.,Seed,130,5,25.5,25.5,"Framework Ventures, Benchmark, a16z crypto",-
www.tiamat-sciences.com/,11/04/2022,03/23/2023,"Tiamat Sciences leads the biotech revolution with affordable, plant-based proteins and scalable production methods, revolutionizing sustainability in global food systems. Their proprietary platform leverages plants as bioreactors, generating safe, sustainable, and animal-free proteins, growth factors, and enzymes at a fraction of current market costs, defining new standards for safety and environmental impact. From R&D to full-scale production, Tiamat empowers innovation across healthcare, cellular agriculture, and beyond, championing a future where animals are no longer integral to biotechnology. Committed to reshaping perceptions of food and health, Tiamat Sciences pioneers novel solutions, propelling the world towards a more ethical and sustainable tomorrow.",Seed,139,5,2,5.5,"True Ventures, Sustainable Food Ventures, Social Impact Capital, Siddhi Capital, SeedFolio, Sara Murray, Portfolia, Exponential Impact, Cantos, Alexandria, 8090 Industries","True Venture, Social Impact Capital, Cantos, SeedFolio"
https://www.deftpower.com/,01/17/2023,01/25/2024,"Deftpower is a leading mobility service provider specializing in white-label SaaS solutions for embedding EV charging into core products. Trusted by prominent brands like AVIA, Fisker, and ConnectNed, Deftpower empowers businesses to thrive in the growing EV market by offering superior charging app experiences, operational scalability, revenue diversification, and strategic partnerships within the eMobility ecosystem. Their modular, customizable driver charging app grants access to over 650,000 charging points across Europe, while their business portal ensures complete control, enhanced security, and streamlined operations. With Deftpower's API for developers and a strong track record, they are driving innovation and convenience in EV charging solutions.",Seed,373,13,-,-,"Twickelborg, Rethink Ventures, Koolen Industries, Cosmic Cat Group, 4impact",Rethink Ventures
www.agaveapi.com,11/08/2022,08/30/2023,"Agave API is a revolutionary integration solution for the construction industry, offering a single API to seamlessly connect with over 35 systems, both cloud-based and on-premises. Trusted by leading companies like ProcurePro, Propeller Aero, and AIA Contract Documents, Agave optimizes user workflows, ensuring efficiency and reliability. Catering to both software vendors and contractors, Agave provides a unified API to access data across construction software platforms, along with tools like Agave Sync and Agave Analytics. Their innovative offerings extend to a branded marketplace app and a file manager, empowering users to manage files, drawings, and specifications effortlessly. With a strong client base including industry giants like Balfour Beatty and McCarthy, Agave API is a SOC 2 Type II certified solution, committed to revolutionizing construction data management.",Seed,295,11,2.9,3.4,"Mischief, Accel",Y Combinator
https://buidlerdao.xyz/,11/07/2022,08/28/2023,"Builder DAO is a thriving force in the Web3 space, boasting over 7,600 members and 100+ core contributors influencing the industry's forefront. With a total influence of 300,000+, Builder DAO is a dynamic network bridging Web2 users into the Web3 realm, offering an open community for technical talents to explore and discuss Web3 technologies. As a pivotal hub, they provide project teams with talents, resources, and market solutions for incubation. Builder DAO's extensive portfolio includes innovative projects such as Nextme, SourceDAO, and Ubiloan, showcasing their commitment to nurturing valuable innovation. The company's multifaceted approach encompasses education, technology, operations, and research, solidifying their position as a cornerstone in shaping the future of Web3.",Seed,294,11,2,2,"SevenX Ventures, Sequoia Capital, Gate Labs, DRK Lab, Conflux Network, Bing Ventures",-
"www.outverse.com
",10/09/2022,07/11/2023,"Outverse is a cutting-edge platform offering self-serve support tailored for modern SaaS companies, empowering them to support customers at scale through intelligent documentation and community forums. Designed for the next generation of startups and CX teams, Outverse's knowledge base simplifies the creation and maintenance of structured support docs, ensuring a fast and intuitive experience. The community forums, enhanced by AI, enable customers to find solutions beyond the knowledge base, featuring verified solutions, AI-powered search, upvoting, private channels, and rich embeds. With a focus on ticket deflection, AI-first support, and seamless collaboration, Outverse sets a new standard for customer experience, providing insights and integrations to enhance workflow efficiency.",Seed,275,10,6,7.3,"Wing Venture Capital, Tiny VC, Seedcamp, Paul Forster, Notion Capital, Connect Ventures","Will Neale, Seedcamp, Nicolas Julia, Marc McCabe, Ian Hogarth, Foreword Ventures, Everywhere Ventures (The Fund), Don Hoang, Connect Ventures"
https://spline.design/,10/15/2022,07/13/2023,"Spline revolutionizes 3D design, offering unparalleled simplicity and power. Crafting intricate 3D objects, manipulating materials, adding interactivity – all made effortlessly accessible without the need for coding. This web-based 3D design tool empowers users to control every facet of their creations, ensuring precision and creativity. Spline's intuitive platform represents a paradigm shift, making 3D design more user-friendly than ever before. From beginners to seasoned designers, Spline caters to all, providing a seamless experience in bringing imagination to life in the digital realm.",Seed,271,10,15,15,"Y Combinator, Vlad Magdalin, NXTP Ventures, Leonis Capital, Guillermo Rauch, Gradient Ventures, First Round Capital, Chapter One Ventures, Backend Capital","Y Combinator, NXTP Ventures, Gradient Ventures, Goodwater Capital, GE32 Capital, First Round Capital, Chapter One Ventures, Bossanova Investimentos"
http://primis.cx/,5/2/2023,1/26/2024,"Primis pioneers the next generation of online shopping by providing tailored and sustainable post-purchase solutions to enhance customer experience. Differentiating from the commonplace next-day delivery focus, Primis prioritizes the often neglected emotional aspect of the shopping journey after the ""buy"" button. The platform seamlessly integrates with major eCommerce platforms such as Shopify, Salesforce, and Magento, and is connected to both established and emerging carrier networks. Primis transforms the post-purchase landscape, ensuring a memorable and holistic shopping experience that fosters genuine customer loyalty.",Seed,269,10,2.5,3.1,-,-
urbansdk.com,10/24/2022,07/05/2023,"Urban SDK revolutionizes traffic management with its comprehensive software suite, empowering state and local governments to swiftly identify and address traffic and safety concerns. Trusted by leading organizations like FDOT and AECOM, Urban SDK provides real-time visualization of roadways, devices, and work zones, streamlining response to public complaints and enhancing street safety. Offering proactive monitoring, customizable reporting, and seamless collaboration, Urban SDK's platform optimizes resource deployment and improves decision-making. With features like off-the-shelf analytics and cloud integration, Urban SDK enables efficient traffic management, ensuring safer, smoother roads for smart cities. Experience the future of traffic solutions with Urban SDK's innovative technology.",Seed,254,9,4.6,4.6,"venVelo, Techstars, GOVO Venture Partners, Florida Opportunity Fund, DeepWork Capital","venVelo, Florida Opportunity Fund, DeepWork Capital, Techstars"
https://getrex.app/,10/10/2022,06/12/2023,"Rex App is your ultimate companion for discovering, organizing, and sharing recommendations seamlessly with friends. Easily access curated suggestions from your trusted circle, while effortlessly keeping track of your favorite spots, all in one convenient platform. With Rex App, sharing your go-to places becomes effortless, fostering a community-driven approach to exploration and enjoyment. Prioritizing user privacy and security, Rex App upholds strict Privacy Policy and Terms of Service, ensuring a trustworthy and transparent experience for all users. Join the Rex community today to unlock a world of personalized recommendations and collaborative discovery.",Seed,245,9,4,4,"Khosla Ventures, Future Positive, Accel",-
"www.researchhub.com/",10/15/2022,06/15/2023,"ResearchHub revolutionizes scientific research by providing a platform for open publication and discussion, incentivizing users with ResearchCoin. With a mission to accelerate the pace of academic discovery, ResearchHub fosters a collaborative environment where academics and citizen scientists openly share knowledge and engage in scholarly discourse. By rewarding users for discussing academic literature, ResearchHub pioneers a new approach to incentivizing scientific collaboration, ultimately advancing the frontiers of human knowledge.",Seed,243,9,5,5,"OSS Capital L.P., Guillermo Rauch, Garry Tan, Boost VC, Bob Young, Amjad Masad",-
www.signaloid.ai/,10/16/2022,05/25/2023,"Signaloid revolutionizes computation, transcending limitations to unveil the full spectrum of possibilities within data realms. Unlike conventional systems that merely compress reality, Signaloid's platform illuminates every potential outcome with unparalleled speed and efficiency. Compatible with existing software, it empowers industries from finance to quantum research, weather forecasting to engineering, ensuring robust decision-making and autonomous precision. From risk modeling to real-time hedging, Signaloid's Compute Engine delivers unparalleled certainty without cumbersome Monte Carlo methods. With a commitment to transparency and innovation, Signaloid invites collaboration and exploration, shaping a future where doubts dissolve into insights. Join us in reshaping computation at the speed of thought.",Seed,221,8,3.8,3.8,"Type One Ventures, Parkwalk Advisors, IQ Capital, Creator Fund","Intel Ignite, University of Cambridge, Creator Fund, Cambridge Angels group"
https://www.thepyxis.co/,6/25/2023,1/30/2024,"Pyxis One is a pioneering company at the forefront of sustainable maritime innovation, offering 100% electric harborcraft with zero emissions. Committed to a greener future, Pyxis One combines breakthrough engineering, super battery technology, and powerful motors to create high-performance yet serene vessels. Their minimalist design not only makes a statement but also prioritizes user comfort, system efficiency, and environmental responsibility. With industry recognition and partnerships, Pyxis One is leading the charge towards a more sustainable maritime industry, reflecting their mission to make sustainability a way of life. Join the revolution and contact Pyxis One, based in Singapore, to be part of the electrifying future of maritime transportation.",Seed,219,8,4.5,4.5,"Tian San Shipping, ShipsFocus, Seeds Capital, Motion Ventures, MarImpact, LCC Resources, Kim Ann Investments",-
www.payrails.com,11/03/2022,06/07/2023,"Payrails provides high-growth businesses with a versatile payment infrastructure, enabling efficient global transactions and automated financial operations. With seamless integration, businesses can accept payments worldwide, enhance revenue through optimized checkout experiences, and manage money movement with scalable ledgers. Backed by Andreessen Horowitz and HV Capital, Payrails offers flexible solutions to streamline financial operations, automate reporting, and introduce new payment methods effortlessly. Their platform prioritizes profitability, compliance, and time-to-market, empowering businesses to accelerate growth while simplifying security measures. Leveraging powerful APIs, Payrails customizes tailored solutions for various payment needs, ensuring businesses operate smoothly and competitively in the dynamic digital landscape.",Seed,216,8,14.4,20.8,"HV Capital, General Catalyst, Flixfounders, EQT Ventures, Andreessen Horowitz","Thomassin Emmanuel, HV Capital, Flixfounders, Dominik Richter, Andreessen Horowitz"
www.blocktorch.xyz,10/09/2022,05/09/2023,"Blocktorch is the ultimate solution for gaining comprehensive insights into decentralized applications effortlessly. With its intuitive interface, users can analyze logs, traces, and metrics across all components without coding. Visualizing data enables informed decision-making and trend identification, facilitating easy sharing of results. Real-time monitoring ensures critical events are never missed, with personalized alerts for prompt action. Backed by a formidable lineup of investors, Blocktorch empowers users to move from firefighting to proactive observation, enhancing the efficiency and reliability of decentralized applications. With its commitment to web3 observability, Blocktorch reshapes the landscape of decentralized application management, providing unparalleled visibility and control.",Seed,212,8,4.2,4.2,"Speedinvest, Simon Jones, Rockaway Blockchain Fund, Remote First Capital, Max Stockl, IDEO CoLab Ventures, Henry Chen, 
Felix Wolf, Entrepreneur First, Charlie Songhurst, Bryce Ferguson, Andreas Klinger, Alchemy Ventures",Entrepreneur First
https://www.vibe.xyz/,10/09/2022,05/04/2023,"Vibe Labs pioneers the creation of interactive and customizable non-fungible tokens (NFTs) through their groundbreaking platform, boasting 1,060 minted NFTs, 442 creators, and 71 collections, with a user base of 24,523. Vibe Season 1: Genesis NFT sets the standard for digital creators, offering NFTs that evolve, tell stories, and provide authentic experiences. With extensions enriching collections and upgrades to the traditional NFT standard, Vibe Labs transforms static assets into dynamic applications. Loyalty points, physical redemption, and POAP are seamlessly integrated, while creators benefit from customizable templates and a suite of empowering tools. Join their network to build NFT extension mechanisms and explore the Internet of Experiences.",Seed,207,7,4,4,"TLF Ventures, Soma Capital, P NATION, Naval Ravikant, Henry Lau, Alchemy Ventures, Aglaé Ventures",-
www.antimetal.com,10/15/2022,05/08/2023,"Antimetal revolutionizes cloud cost optimization with its smarter cloud solutions, enabling savings of up to 75% on AWS expenditures without contracts or intricate engineering requirements. Trusted by over 1,500 companies worldwide, Antimetal's proprietary AI engine, Autopilot, continuously optimizes AWS spend, forecasting usage accurately and safeguarding against underutilization with specialized insurance. Offering commitment-free benefits and non-invasive account access, Antimetal ensures frictionless integration, empowering users with powerful AI prediction models and customizable alerts for maximum control. With a commitment to security and unparalleled savings, Antimetal reshapes cloud economics, delivering substantial cost reductions while maintaining robust operational standards for businesses across diverse sectors.",Seed,205,7,4.3,4.3,"Sunil Srivatsa, Polygon Ventures, Louis Guthmann, Kelvin Fichter,, Jai Bhavnani, IDEO CoLab Ventures, Framework Ventures, Chapter One Ventures, Builder Capital, Alchemy Ventures",-
www.nixtla.io/,10/10/2022,04/24/2023,"Nixtla pioneers a future of inclusive predictive analytics with its time series research and deployment solutions. Democratizing access to cutting-edge insights, Nixtla's open-source TimeGPT platform revolutionizes forecasting and anomaly detection, powered by the largest data collection in history—over 100 billion rows across financial, weather, energy, and web domains. Whether for banks forecasting market trends or startups predicting product demand, TimeGPT eliminates the need for dedicated machine learning teams, offering lightning-fast predictions in seconds. Trusted by experts in leading companies, Nixtla's comprehensive Time Series Ecosystem sets the standard for accessible, fast, and revolutionary time-series analysis, empowering businesses of all sizes to thrive in data-driven decision-making.",Seed,196,7,4.5,6,"True Ventures, GreatPoint Ventures","Team Ignite Ventures, Google for Startups, Techstars, Merus Capital, 
Latitud, Alumni Ventures"
https://randevu.tech/,06/01/2023,12/07/2023,"Randevu.tech is a cutting-edge B2B commerce and marketplace technology company that empowers businesses to build, launch, and scale custom solutions three times faster and at half the cost. Serving as a trusted tech partner, Randevu offers a full life-cycle approach to marketplace tech, specializing in reducing time-to-market and accelerating time-to-revenue. With a unique UI and iteration process, they leverage their core infrastructure tech to ensure easy customization and launch. The company prides itself on integrations and extensions, utilizing an API-first architecture to seamlessly connect with internal and external systems. Randevu emphasizes client ownership by granting IP rights, avoiding vendor lock-in, and implementing a pay-as-you-grow model for minimal risk. With a proven track record and a diverse range of successful partnerships, Randevu.tech stands as a global leader in marketplace technology solutions.",Seed,189,7,0.325,0.4419,"TS Ventures Fond, ICT Hub Venture, Earlybird Venture Capital","TS Ventures Fond, ICT Hub Venture, Antler, "
https://www.default.com/,05/05/2023,11/09/2023,"Default revolutionizes inbound lead management with an all-in-one platform, streamlining B2B companies' go-to-market strategies. This integrated solution combines lead qualification, scheduling, routing, and reporting into a powerful, drag-and-drop platform, eliminating the complexities of broken lead funnels and integration hassles. Offering scalability and efficiency, Default accelerates conversion rates, simplifies marketing and sales operations, and unifies cross-functional revenue teams. Trusted by fast-growing revenue teams, it empowers users to build predictable inbound strategies, enhance lead qualification, and segment audiences effortlessly. Through success stories like Series, Harmonic, OpenPhone, and Salesbricks, Default proves its ability to save time, improve conversion, and transform inbound pipelines.",Seed,188,7,6.6,7.3,"Scribble Ventures, Kearny Jackson, Jack Altman, GTMfund, Craft Ventures, Caffeinated Capital, BoxGroup, Adapt Ventures, 8VC","Scribble Ventures, Nicholas Donahue, GTMfund, Zephyr Venture Partners, PROTOCOL — by GETTYLAB, Ashkan Mizani"
